"","tp","fp","tn","fn","method","n","k"
"153",21,68,1505,6,"ALDEx2 (gamma = 0.5)",15,3
"154",2,0,1573,25,"ALDEx2 (gamma = 5)",15,3
"155",21,104,1469,6,"ALDEx2 (gamma = 0)",20,3
"156",25,1514,59,2,"DESeq2",20,3
"157",23,1192,381,4,"limma",20,3
"158",26,718,855,1,"baySeq",20,3
"159",26,1433,140,1,"edgeR",20,3
"160",21,73,1500,6,"ALDEx2 (gamma = 0.5)",20,3
"161",4,0,1573,23,"ALDEx2 (gamma = 5)",20,3
"162",22,163,1410,5,"ALDEx2 (gamma = 0)",25,3
"163",25,1525,48,2,"DESeq2",25,3
"164",22,1244,329,5,"limma",25,3
"165",26,900,673,1,"baySeq",25,3
"166",26,1470,103,1,"edgeR",25,3
"167",21,87,1486,6,"ALDEx2 (gamma = 0.5)",25,3
"168",4,0,1573,23,"ALDEx2 (gamma = 5)",25,3
"169",22,212,1361,5,"ALDEx2 (gamma = 0)",30,3
"170",25,1528,45,2,"DESeq2",30,3
"171",25,1337,236,2,"limma",30,3
"172",25,1019,554,2,"baySeq",30,3
"173",27,1506,67,0,"edgeR",30,3
"174",21,93,1480,6,"ALDEx2 (gamma = 0.5)",30,3
"175",5,0,1573,22,"ALDEx2 (gamma = 5)",30,3
"176",23,323,1250,4,"ALDEx2 (gamma = 0)",40,3
"177",25,1535,38,2,"DESeq2",40,3
"178",25,1301,272,2,"limma",40,3
"179",27,1091,482,0,"baySeq",40,3
"180",26,1492,81,1,"edgeR",40,3
"181",21,102,1471,6,"ALDEx2 (gamma = 0.5)",40,3
"182",4,0,1573,23,"ALDEx2 (gamma = 5)",40,3
"183",23,420,1153,4,"ALDEx2 (gamma = 0)",50,3
"184",24,1539,34,3,"DESeq2",50,3
"185",26,1364,209,1,"limma",50,3
"186",27,1191,382,0,"baySeq",50,3
"187",27,1510,63,0,"edgeR",50,3
"188",21,124,1449,6,"ALDEx2 (gamma = 0.5)",50,3
"189",4,0,1573,23,"ALDEx2 (gamma = 5)",50,3
